q,a,indexes
"出国（境）审批流程

因公/私出国境系统已上线，审批流程已配置，无需手动选择。",,
"干部因公证件在哪里保管

1、集团直管干部（管理团队）因公护照由集团人力资源部保管、因公港澳通行证由啤酒人力资源部干部监督保管；
2、其他人员因公证件由啤酒人力资源部干部监督组保管。",,
"因公出国的办理流程

一、申请人
1、外方邀请函（包含外事活动概述、主要议题、日程、邀请人员名单、邀请人签名和职务，邀请公司盖章，说明费用承担方。），填写《因公临时出国（境）审批表》并做行程预算，在“华润啤酒人力资源综合门户”提交【因公出国境申请】工单经啤酒董事会主席审批；
2、准备办理因公护照材料；
3、准备办理签证材料：具体以实际通知为准；
4、严格按照审批行程，在申请期间内出国。
二、人力资源部干部监督组
1、公司内网公示，时间不少于5个工作日；
2、干部监督组PS上报集团（集团直管正职领导OA上报集团董事长）；
3、办理公务普通护照；
4、准备、整理签证材料，签证系统填报出国人员信息，干部监督组至外交部签证大厅办理；
5、 待出国人员领取证件。",,
"如何办理因公普通护照

一、申请人
1、提供因公护照数字照片回执、户口本本人页、身份证扫描件；
2、指纹信息录制。
二、人力资源部干部监督组
1、负责向集团PS提交护照及签证申请；
2、组织办证人员录取指纹签名信息；
3、将护照信息录入外交部护照系统，保存、提交；
4、集团领取因公护照。",,
"因公出国临时变更出访国家/延期

因公出国临时变更出访行程的，流程办理：
1、若团组未出行，且行程已经集团审批。减少人员、天数要向派出单位和组团单位进行报告。其他情形需重新报批因公出国流程。
2、若团组已出行，因不可抗力因素导致需要变更出访国家/日期，需在变更前及时告知干部监督组，并履行报告程序，向派出单位和组团单位进行报告。
3、实际行程与计划不符的，均需在出访报告中写明情况。",,
"因公出国结束需要做什么

1、回国后，7天内交还因公证件至人力资源部干部监督组；
2、回国后，1个月内在系统内完成出访报告、回访记录及执行中央八项规定及其实施细则精神报告表；
3、涉密人员回国后，10天内在系统内完成《涉密人员出国境报告记录表》。",,
"没有因公出国任务，可以办理因公证件吗

没有因公出国任务不可以办理因公证件，必须有明确的因公出国境任务和实质内容， 才可以申办因公证件。",,
"具体出国时间暂未确定是否可以先提交因公出国申请

具体出国时间和计划未确定，不可以提交因公出国申请。",,
"因公赴港的办理流程

一、若有有效期内的因公证件和签注：由个人提交出差申请，待审批通过后，至干部监督组领取证件赴港；
二、若无有效期内的因公证件/签注，需提前至少一个月办理因公港澳通行证/签注：
1、在“华润啤酒人力资源综合门户”提交【因公赴港申请】工单；
2、本人提供数码照片回执、户口本本人页、身份证扫描件；
3、出访人员联系干部监督组录取指纹签名信息；
三、干部监督组
1、负责在PS上报集团审批；
2、将港澳通行证信息录入港澳办系统，保存、提交；
3、集团领取因公港澳通行证。",,
"因公赴港签注的类型有哪些

因公赴港签注类型有三个月单次、三个月多次、半年多次和一年多次，申请人需根据实际业务申办签注类型，不得为了审批方便申办“一年多次”签注。",,
"因私证件在哪里保管

1、集团直管干部因私证件由集团人力资源部保管；
2、除集团直管干部之外的登记备案人员、涉密人员，因私证件均由干部监督组统一保管。",,
"哪些人因私出国需要申报

登记备案人员因私出国需要申报，范围如下:
1、集团直管干部；
2、啤酒直管干部（M5及以上层级）含派驻参股公司人员；
3、涉密人员：名单已内置到系统。
除集团直管干部外，其他登记备案人员因私出国在“华润啤酒人力资源综合门户”的“因私出国境”工单提前申报。",,
"可以用因私证件出国办理公务吗

严禁持因私证件出国（境）执行公务，因公证件严禁用于私人行程。",,
"因私出行回国后需要做什么

1、登记备案人员、涉密人员：在回国后7日内将因私证件交回干部监督组统一保管；
2、集团直管干部完成集团PS《领导干部实际因私出国（境）信息填报》；其他登记备案人员、涉密人员完成《因私出国境核查工单反馈》；
3、涉密人员：回国后7天内完成《涉密人员出国（境）报告记录表》报告；
4、涉密人员：回国后一个月内完成《出国（境）人员回访记录表》。",,
"涉密人员因私出国（境）有什么特殊要求

1、涉密人员出国（境）应当经本单位同意并报保密委批准，原则上核心涉密人员因私出国（境）不予批准 ；
2、未经本单位及集团保密委同意，涉密人员不得私自办理出国（境）手续； 
3、涉密人员在脱密期内，申请出国（境）的按照在岗涉密人员申请出国（境）程序办理，未经批准不得出国（境）。",,
"因私出行“紧急联系人”填写家属可以吗

因私出行紧急联系人不可为同行人员，若家属不同行，即可填写家属。",,
"因私出国临时变更出访国家/出行时间如何报备

按如下方式处理：
1、未出行变更出访国家/出行时间的，需重新报批因私出国申请。
2、已出行，因不可抗力因素导致需要变更出访国家/出行时间的，需在变更前及时告知干部监督组，由干部监督组向集团进行报备。
3、取消出国境计划，事前向干部监督组报备。",,
"因私出国审批后的出行日期与离抵境（中国海关）日期是什么关系

出行日期是出国（境）的起止时间，离抵境（中国海关）日期是出入中国海关的时间，出行日期应大于等于实际离抵境（中国海关）日期。",,
