q,a,indexes
"内部招聘流程?
1、提报招聘需求：HRBP进入华润啤酒综合内网→【华润啤酒人力资源数智化平台】→【内部招聘】→【招聘需求提报】；
2、招聘信息发布：审批通过后通过内招系统【内部公示】发布；
3、应聘：候选人通过内招公告报名链接完成线上报名审批；
4、资格审查：招聘单位HRBP在内招系统完成资格审核；
5、测评（如有）：HRBP通过外部账户邮件通知领导力测评；
6、笔面试：HRBP在内招系统安排笔试、面试并发送通知，笔试通过华润啤酒测评考试系统开展
7、成绩汇总：HRBP在内招系统上传笔试成绩（如有），汇总面试官评价；
8、综合评价报告：拟定录用名单，并确认是否公示，综合评价报告经领导审核；
9、公示及录用报告：公示结束后（如有）进行录用报告审批，审批结束后推送异动审批。",,
"如何获取内部招聘信息?
进入华润啤酒综合内网“首页”，在公告栏处可查看发布的内部招聘信息。",,
"内部招聘报名所需材料?
候选人通过内招公告报名链接线上报名，具体报名材料以招聘通知要求为准。",,
"内部招聘结果/内部招聘进度在哪里查看?
1、HRBP：进入华润啤酒人力资源数智化平台【内部招聘】系统查看。
2、员工：进入华润啤酒综合内网，在公告栏处可查看发布的内部招聘信息，点击招聘信息内职位报名链接，进入职位内招页面点击【查看进度】。",,
"如何进入新招聘系统?
华润啤酒综合内网→【华润啤酒人力资源数智化平台】→左边菜单栏【招聘】",,
"已招聘完的职位还在系统页面显示如何处理?
华润啤酒人力资源数智化平台的【招聘职位查看】会显示所有历史招聘职位，若已招聘完的职位还在系统页面显示，可通过设置上方的【招聘状态】进行过滤筛选。",,
"如何进行招聘需求填报?
进入招聘系统【招聘需求填报】，选择【新增】、【选择招聘类型】，填写相关内容，提交审批。",,
"同一部门有多个岗位的招聘需求怎么提报?
可在同一表单填报，但不同岗位需分开填写。
注：同一岗位ID多岗位发布时，需区分不同工作地址，否则提报后无法对外发布。",,
"招聘需求提交后如何添加抄送人?
提交需求填报后选择【知会】及知会人员。",,
"如何查找本部门招聘需求?
进入【华润啤酒人力资源数智化平台】→【招聘】→【招聘需求填报】，设置【招聘单位】、【招聘部门】及【招聘状态】筛选条件进行搜索。",,
"招聘需求有变化如何处理?
可以进行招聘需求变更，具体操作为：进入【华润啤酒人力资源数智化平台】→【招聘】→【招聘需求填报】→选择对应岗位【变更】→【选择变更事项】→填写【变更原因】，也可以选择【暂缓】/【重启】或【取消】。",,
"同一岗位可进行招聘需求变更的次数?
招聘需求变更不限制次数。",,
"招聘需求可变更的字段/内容有哪些?
招聘需求可变更的内容包括：发布名称、招聘人数、性别、年龄上限、最低学历、学历性质、院校属性、薪酬待遇、经历经验、资格证书、工作职责、任职条件、工作城市、工作地址、招聘职级、招聘渠道。",,
"招聘系统中的职位信息从哪里查看?
进入【华润啤酒人力资源数智化平台】→【招聘】→【招聘职位查看】。",,
"系统中的原始简历、标准简历、应聘登记表分别是指什么?
原始简历：指候选人在投递时自己制作的简历。
标准简历：根据系统模板解析的简历。
应聘登记表：由候选人填写的应聘登记表。",,
"如何将线下简历上传到系统?
进入【华润啤酒人力资源数智化平台】→左边菜单栏【招聘】→简历中心→新增简历→填写应聘岗位/简历来源。",,
"上传简历显示该候选人简历已存在如何处理?
1.当提示简历已存在时，可进入简历中心搜索候选人姓名，查询简历进行后续流程推进；
2.如需替换当前人选简历，请联系人力资源共享中心招聘组处理。",,
"如何获取人力资源共享中心推送的简历?
在综合门户待办或招聘系统【简历复筛（HR）】处可查看待复筛简历。",,
"如何处理人力资源共享中心推送的简历?
进入【华润啤酒人力资源数智化平台】→左边菜单栏【招聘】→简历复筛（HR）→选择对应【候选人】→右上角选择通过或者淘汰→简历复筛(用人部门)",,
"如何在简历复筛界面看到候选人更多信息?
点击人选姓名进入简历详情界面查看。",,
"在简历复筛界面无数据如何处理?
检查上方筛选栏中“是否我负责”勾选了“是”，若勾选，则取消勾选后重新搜索。",,
"HRBP如何转发简历给用人部门?
HRBP复筛简历通过后，会流转下一环节“用人部门复筛”，选择对应用人部门负责人即可。",,
"用人部门如何反馈不合适的简历?
用人部门可直接在门户待办中，查阅并操作简历筛选结果【不通过】，同时添加淘汰原因说明。",,
"如何在系统检索需复筛的候选人简历?
进入【华润啤酒人力资源数智化平台】→【招聘】→【简历复筛（HR）】→上方可设置【筛选状态】进行筛选。",,
"在系统无法搜索相应岗位候选人的名字如何处理?
1.进入【华润啤酒人力资源数智化平台】→【招聘】→简历中心，通过电话号码/邮箱精准搜索对应的候选人。
2.联系人力资源共享中心招聘管理岗，检查对应岗位的职位协作者是否有对应的HRBP，若没有则手动添加后即可搜索出对应岗位的候选人。",,
"简历被锁定如何处理?
联系人力资源共享中心查看简历，是否锁定到其他单位岗位中。",,
"如何将候选人简历放进人才库?
进入【华润啤酒人力资源数智化平台】→左边菜单栏【招聘】→选择对应【候选人】→简历入库→人才库→填写淘汰原因。",,
"如何将候选人移出简历中心?
进入【华润啤酒人力资源数智化平台】→左边菜单栏【招聘】→简历库→人才库→搜索候选人由人力资源共享中心由人力资源共享中心招聘管理岗操作推荐职位",,
"初试未通过的候选人简历进入了企业人才库后发现可以进行复试如何操作?
在简历中心找到该简历，重新推荐到对应岗位，重新走面试流程。",,
"初试未通过的候选人简历如何查找?
进入【华润啤酒人力资源数智化平台】→【招聘】→【一面评价】，在筛选栏“评价状态”选择“一面淘汰”，点击搜索。",,
"如何从系统下载简历?
进入【华润啤酒人力资源数智化平台】→左边菜单栏【招聘】→选择对应【候选人】→左上角下载简历。",,
"如何将某岗位的简历推荐到其他岗位上?
1.如人选已在应聘流程中：请在最新环节中选择候选人，操作【职位变更】→选择目标职位及目标环节。
2.如人选不在流程中：请联系人力资源共享中心招聘岗由其代为操作。",,
"简历复筛环节如何变更职位?
点击候选人→操作【职位变更】→选择目标职位及目标环节。",,
"系统中的推荐职位何时使用?
若候选人面试后认为其更适合另一个岗位，且不需要保留任何操作记录和面试记录，则BP可选择【推荐职位】进行部门/岗位的变更，推送候选人至新岗位的面试。",,
