q,a,indexes
"试用期转正审批流程由谁发起?
1、正常转正：由系统自动推送给对应HRBP待办
2、提前转正：由HRBP发起",,
"试用期内解除劳动合同的办理时间要求?
离职审批流程的完成时间需不晚于最后工作日，最后工作日须不晚于试用期到期日。",,
"试用期员工什么时间能收到转正评估通知或转正评价提醒?
试用期为6个月的员工，在试用期到期前35天推送【试用期转正审批】；试用期为3个月的员工，在试用期到期前20天推送【试用期转正审批】。",,
"试用期转正评价材料要求?
1、管理岗（M序列）员工：按制度需提交《试用期述职述能报告》（试用期管理制度中附件1）
2、非管理岗员工：无模板要求，可直接在工单界面填写试用期总结，也可单独上传书面总结材料",,
"需进行异地公示的情形?
1、首次申报异地资格
2、变更现常驻工作地/首次招聘地/探亲地
3、中转地新增或者变更",,
"无需进行异地公示的情形?
1、取消异地资格
2、仅变更探亲对象",,
"原存量基层异地人员晋升又降职后，是否保留异地待遇?
原存量基层异地人员晋升又降职后，可保留探亲待遇。",,
"什么情况下需要手动发起异地资格申报?
1、首次申报异地资格人员
2、已认定为异地人员，因办公室搬迁、组织架构调整等原因，人力资源共享中心人事管理岗手动调整职务数据，未走异动审批流程的，系统不推单，需手动发起
3、工作地自购房情况、探亲地、探亲对象等个人信息变化，需手动发起",,
"异地认定中转地信息缺失是何原因?
中转地由员工填写，若未填写则不显示。",,
"异地人员家庭所在地变更后如何修改探亲地?
需先在人力资源信息系统中修改家庭所在地（修改途径：手机润工作-HR门户-我的信息），待次日完成数据同步后，再提报【异地资格申报】工单变更探亲目的地。",,
"存量基层异地调动后是否享受异地酒店住宿?
存量基层人员调动后不享受异地酒店住宿。",,
"因自购房情况变化取消异地待遇应提供什么附件?
员工工作地有自购房而取消异地待遇，建议上传房产证或房屋买卖合同，若所在单位有特殊管理要求则遵从单位的规定。",,
"在异地晋升为中层同等职级如何申请享受异地待遇?
先申报异地资格认定，经认定为异地人员后，即可享受相关异地待遇。",,
"异地员工如何查询已维护的探亲家属信息?
可在所填报的【异地资格申报】工单查询，或联系人力资源共享中心人事岗查询",,
"提单取消异地资格时，工单中的生效日期如何填写?
1、因职务调整（降职降级、免职、工作调动等）导致的异地取消，生效日期为职务调整生效日期。
2、因个人原因（如工作地购房、户口转入工作地）导致的异地资格取消，生效日期为该情况产生当日。",,
"如何修改信息系统中的华润工作经历?
1、干部：根据档案专审后认定。
2、非干部：由员工或HRBP提供佐证材料，邮件发送至人力资源共享中心人事管理岗修改。",,
"PS个人信息更新后什么时候同步至其他系统?
PS个人信息修改审批通过后，同步至润工作、OA等系统需1-2个工作日，逾期未同步，请提报AISM单处理或联系人力资源共享中心人事岗。",,
"PS系统个人信息修改审批流程?
由人力资源共享中心进行审核。",,
"PS系统独生子女信息如何维护?
由HRBP或员工本人提供独生子女证有效信息页至人力资源共享中心人事管理岗，经审核认定后予以维护。",,
"员工教育（学历/学位）经历维护要求?
根据所提供的学历、学位证书，经鉴定后进行维护。暂未取得证书的，可在学信网下载PDF版的教育部学历证书电子注册备案表。海外学历需提供教育部留服中心出具的《国外学历学位认证书》。",,
