q,a,indexes
"探亲次数重复扣减怎么处理?
请提报[AISM]工单申请恢复次数。",,
"异地员工本人和已备案家属如何申请探亲假?
可通过如下任一方式申请探亲假：
电脑端：[综合内网]→[华润啤酒报账系统]→[发起报账申请]→[事前申请]→[其他公出事前申请]；
手机端：[润工作]→[更多应用]→[智能报账]→[事前申请]→[其他公出事前申请]",,
"报账系统中探亲次数释放与清零规则?
1、每月一号释放下月探亲次数，并累加计算。
2、每年12月可预支次年1月次数，年底时要清理当年累计未使用次数。
3、探亲资格取消后，系统按生效日期实时同步处理，探亲次数作废，可用“其他公出”余额清零。",,
"“其他公出申请”已审批通过如何申请取消?
请提报[AISM]工单申请取消。",,
"异地员工在报账系统提报其他公出后，是否需要在考勤系统单独申请路程假?
若已在其他公出申请单中填写了""请假日期""的，无需再单独至考勤系统提报路程假。
若未填写“请假日期”，则需通过考勤系统单独提交[路程假]请假申请。",,
"如何查看异地员工探亲次数剩余额度?
在“其他公出申请”页面即可查看当前探亲次数剩余额度。",,
"查询探亲假使用次数的方法?
探亲假已使用次数在财务报账系统（EMS）查询，操作路径：[智能服务管理平台]→[系统异常及咨询]。",,
